,hid,name,full_name,begin_time,end_time
87,-490,Lucy Centaur RB Stage,Lucy Centaur RB Stage (spacecraft), 2021-OCT-16 10:31:59.1406 UT, 2023-DEC-31 23:58:50.8161 UT
88,-557,Spektr-R Observatory,Spektr-R Observatory (spacecraft), 2011-JUN-18 06:06:58.9985 UT, 2021-DEC-20 16:42:25.1293 UT
89,-610,Juno Centaur Stage,Juno Centaur Stage (spacecraft), 2011-AUG-05 18:12:51.0200 UT, 2111-AUG-06 18:12:48.0200 UT
90,-640,Infrared Space Observatory,Infrared Space Observatory (spacecraft), 1995-NOV-17 00:36:43.9776 UT, 1998-JUL-16 03:00:00.0000 UT
91,-760,MSL Centaur Stage,MSL Centaur Stage (spacecraft), 2011-NOV-26 16:45:46.2000 UT, 2012-MAR-01 00:03:53.8146 UT
93,-399080,Apollo 8 S-IVB,Apollo 8 S-IVB (spacecraft), 1968-DEC-21 16:03:59.3000 UT, 1968-DEC-31 00:06:00.0000 UT
94,-399090,Apollo 9 S-IVB,Apollo 9 S-IVB (spacecraft), 1969-MAR-03 23:37:50.0000 UT, 1969-MAR-11 00:06:00.0000 UT
95,-399100,Apollo 10 S-IVB,Apollo 10 S-IVB (spacecraft), 1969-MAY-18 19:43:42.4000 UT, 1969-MAY-29 00:06:00.0000 UT
96,-399101,Apollo 10 LM,Apollo 10 LM (spacecraft), 1969-MAY-23 05:37:14.5000 UT, 1969-MAY-28 00:06:00.0000 UT
97,-399110,Apollo 11 S-IVB,Apollo 11 S-IVB (spacecraft), 1969-JUL-16 16:39:23.0000 UT, 1969-JUL-28 00:06:00.0000 UT
98,-399120,Apollo 12 S-IVB,Apollo 12 S-IVB (spacecraft), 1969-NOV-14 19:32:04.9000 UT, 1969-DEC-06 00:06:00.0000 UT
99,-100836,Vela-2A,Vela-2A (spacecraft), 2021-APR-04 23:58:50.8160 UT, 2021-MAY-31 21:34:50.8160 UT
100,-101361,LCS-1,LCS-1 (spacecraft), 1965-MAY-06 15:10:54.8905 UT, 2022-JAN-12 17:17:28.2633 UT
101,-102770,Titan-3C RB,Titan-3C RB (spacecraft), 2003-OCT-07 17:47:54.4957 UT, 2021-DEC-26 11:06:48.8014 UT
102,-106197,IMP-7,IMP-7 (spacecraft), 2021-APR-04 23:58:50.8160 UT, 2021-MAY-31 21:34:50.8160 UT
103,-107964,Atlas-Agena_RB,Atlas-Agena_RB (spacecraft), 2019-APR-22 05:07:34.3281 UT, 2022-JAN-11 17:25:03.5576 UT
104,-108366,GOES-1,GOES-1 (spacecraft), 1978-MAR-24 13:59:47.9996 UT, 2022-JAN-12 12:02:38.0610 UT
105,-108820,LAGEOS-1,LAGEOS-1 (spacecraft), 1976-JUN-13 14:39:52.7933 UT, 2022-JAN-12 15:34:04.1419 UT
106,-111353,FLTSATCOM 2,FLTSATCOM 2 (spacecraft), 1979-AUG-29 10:34:44.0581 UT, 2022-JAN-13 00:25:42.4275 UT
107,-112065,SBS-1,SBS-1 (spacecraft), 1980-NOV-16 03:06:48.0361 UT, 2022-JAN-12 16:59:01.4801 UT
108,-112472,GOES-5,GOES-5 (spacecraft), 1981-MAY-22 03:08:45.1392 UT, 2022-JAN-12 12:57:56.0491 UT
109,-113269,WESTAR-5,WESTAR-5 (spacecraft), 1982-JUN-08 07:35:43.0037 UT, 2022-JAN-12 21:05:26.4529 UT
110,-113631,SATCOM-C5,SATCOM-C5 (spacecraft), 1982-OCT-31 07:54:24.6718 UT, 2022-JAN-12 12:06:35.8088 UT
111,-113901,ASTRON,ASTRON (spacecraft), 2021-APR-04 23:58:50.8160 UT, 2021-MAY-31 21:34:50.8160 UT
112,-114050,GOES-6,GOES-6 (spacecraft), 1983-APR-28 03:20:55.4430 UT, 2022-JAN-13 02:41:47.3493 UT
113,-115993,AUSSAT-1,AUSSAT-1 (spacecraft), 1985-AUG-27 14:38:23.9983 UT, 2022-JAN-12 12:29:53.2674 UT
114,-116275,AUSSAT-2,AUSSAT-2 (spacecraft), 1985-NOV-27 14:01:18.2617 UT, 2022-JAN-12 14:40:25.1518 UT
115,-116292,1985-110B,1985-110B (spacecraft), 1985-NOV-28 20:06:40.1000 UT, 2022-JAN-12 08:48:55.8164 UT
116,-116908,AJISAI,AJISAI (spacecraft), 1986-AUG-14 17:49:59.2729 UT, 2022-JAN-12 22:18:40.3543 UT
117,-119548,TDRS-3,TDRS-3 (spacecraft), 2014-SEP-26 17:44:49.9756 UT, 2022-JAN-12 20:18:59.2831 UT
118,-120452,NAVSTAR-18,NAVSTAR-18 (spacecraft), 1990-JAN-26 07:14:57.1572 UT, 2022-JAN-11 09:03:23.0391 UT
119,-122087,AUSSAT-B1,AUSSAT-B1 (spacecraft), 1992-AUG-13 12:16:27.1329 UT, 2022-JAN-12 19:40:32.3452 UT
120,-122195,LAGEOS-2,LAGEOS-2 (spacecraft), 1992-OCT-23 15:06:50.9668 UT, 2022-JAN-12 17:27:49.7005 UT
121,-122911,Solidaridad-1,Solidaridad-1 (spacecraft), 1993-NOV-19 19:02:04.7662 UT, 2022-JAN-12 14:48:34.9698 UT
122,-122927,Telstar-401,Telstar-401 (spacecraft), 1993-DEC-15 07:55:24.4019 UT, 2022-JAN-12 12:13:00.5843 UT
123,-123051,GOES-8,GOES-8 (spacecraft), 1994-APR-13 01:06:23.8046 UT, 2022-MAR-13 09:04:54.4897 UT
124,-123227,AUSSAT-B3,AUSSAT-B3 (spacecraft), 1994-AUG-27 07:30:42.5399 UT, 2022-JAN-13 01:24:05.1414 UT
